date;time;user;nice;system;idle;iowait;irq;softirq
2022-10-29;17:27:43;2.7;0.0;19.3;71.1;0.0;2.7;4.3
2022-10-29;17:27:44;1.6;0.0;22.2;70.4;0.0;2.1;3.7
2022-10-29;17:27:45;2.6;0.0;22.3;68.9;0.0;2.6;3.6
2022-10-29;17:27:46;0.5;0.0;23.7;70.0;0.0;2.1;3.7
2022-10-29;17:27:47;2.1;0.0;22.0;69.6;0.0;2.6;3.7
2022-10-29;17:27:48;3.8;0.0;17.2;72.0;0.0;2.7;4.3
2022-10-29;17:27:49;3.2;0.0;20.5;71.1;0.0;2.1;3.2
2022-10-29;17:27:50;2.7;0.0;20.3;70.6;0.0;2.1;4.3
2022-10-29;17:27:51;2.6;0.0;22.4;68.9;0.0;2.6;3.6
2022-10-29;17:27:52;2.7;0.0;19.3;72.2;0.0;2.1;3.7
2022-10-29;17:27:53;3.2;0.0;20.5;70.5;0.0;2.1;3.7
2022-10-29;17:27:54;4.1;0.0;20.7;68.4;0.0;2.6;4.1
2022-10-29;17:27:55;1.6;0.0;22.0;70.7;0.0;2.1;3.7
2022-10-29;17:27:56;2.1;0.0;22.0;70.2;0.0;2.1;3.7
2022-10-29;17:27:57;3.0;0.0;23.4;68.0;0.0;2.0;3.6
2022-10-29;17:27:58;3.6;0.0;21.9;68.9;0.0;2.0;3.6
2022-10-29;17:27:59;4.0;0.0;23.0;67.0;0.0;2.5;3.5
2022-10-29;17:28:00;2.7;0.0;20.2;70.7;0.0;2.1;4.3
2022-10-29;17:28:01;3.1;0.0;21.4;69.3;0.0;2.6;3.6
2022-10-29;17:28:02;2.6;0.0;20.6;70.9;0.0;2.1;3.7
2022-10-29;17:28:03;3.2;0.0;20.1;70.9;0.0;2.1;3.7
2022-10-29;17:28:04;2.1;0.0;22.3;69.4;0.0;2.6;3.6
2022-10-29;17:28:05;3.7;0.0;19.1;71.3;0.0;2.1;3.7
2022-10-29;17:28:06;2.1;0.0;23.2;69.1;0.0;2.1;3.6
2022-10-29;17:28:07;2.6;0.0;21.1;70.5;0.0;2.1;3.7
2022-10-29;17:28:08;1.6;0.0;18.5;73.4;0.0;2.2;4.3
2022-10-29;17:28:09;3.3;0.0;17.5;73.2;0.0;2.7;3.3
2022-10-29;17:28:10;4.6;0.0;21.4;67.9;0.0;2.0;4.1
2022-10-29;17:28:11;2.7;0.0;19.8;72.2;0.0;2.1;3.2
2022-10-29;17:28:12;7.5;0.5;22.4;63.7;0.0;2.0;4.0
2022-10-29;17:28:13;2.2;0.0;17.6;73.6;0.0;2.7;3.8
2022-10-29;17:28:14;2.2;0.0;19.6;72.3;0.0;2.2;3.8
2022-10-29;17:28:15;3.2;0.0;19.7;70.7;0.0;2.7;3.7
2022-10-29;17:28:16;3.1;0.0;22.1;68.7;0.0;2.1;4.1
2022-10-29;17:28:17;3.3;0.0;17.0;73.6;0.0;2.7;3.3
2022-10-29;17:28:18;3.6;0.0;21.0;69.2;0.0;2.1;4.1
2022-10-29;17:28:19;3.3;0.0;16.0;74.6;0.0;2.2;3.9
2022-10-29;17:28:20;1.6;0.0;20.4;71.5;0.0;2.2;4.3
2022-10-29;17:28:21;3.7;0.0;18.7;72.2;0.0;2.1;3.2
2022-10-29;17:28:22;5.1;0.0;20.5;67.7;0.0;2.6;4.1
2022-10-29;17:28:23;4.2;0.0;20.8;69.3;0.0;2.1;3.6
2022-10-29;17:28:24;2.2;0.0;18.0;73.2;0.0;2.7;3.8
2022-10-29;17:28:25;2.7;0.0;20.2;71.3;0.0;2.1;3.7
2022-10-29;17:28:26;1.6;0.0;20.0;71.9;0.0;2.7;3.8
2022-10-29;17:28:27;2.1;0.0;23.2;68.6;0.0;2.1;4.1
2022-10-29;17:28:28;2.6;0.0;21.6;69.1;0.0;2.6;4.1
2022-10-29;17:28:29;5.9;0.0;15.6;72.0;0.0;2.2;4.3
2022-10-29;17:28:30;2.9;0.0;13.3;76.9;0.0;2.3;4.6
2022-10-29;17:28:31;4.3;0.0;17.6;71.7;0.0;2.7;3.7
2022-10-29;17:28:32;3.2;0.0;20.1;70.9;0.0;2.1;3.7
2022-10-29;17:28:33;2.6;0.0;20.5;71.1;0.0;2.1;3.7
2022-10-29;17:28:34;4.1;0.0;20.6;68.6;0.0;2.6;4.1
2022-10-29;17:28:35;2.7;0.0;20.7;70.7;0.0;2.1;3.7
2022-10-29;17:28:36;2.7;0.0;20.3;71.1;0.0;2.1;3.7
2022-10-29;17:28:37;6.5;0.0;22.2;65.4;0.0;2.2;3.8
2022-10-29;17:28:38;3.7;0.0;18.1;71.8;0.0;2.1;4.3
2022-10-29;17:28:39;2.1;0.0;23.3;68.4;0.0;2.6;3.6
2022-10-29;17:28:40;2.6;0.0;22.4;69.4;0.0;2.0;3.6
2022-10-29;17:28:41;4.3;0.0;18.6;71.8;0.0;1.6;3.7
2022-10-29;17:28:42;6.0;1.5;20.6;65.8;0.0;2.5;3.5
2022-10-29;17:28:43;2.2;0.0;19.0;72.8;0.0;2.2;3.8
2022-10-29;17:28:44;2.1;0.0;21.9;69.8;0.0;2.6;3.6
2022-10-29;17:28:45;2.7;0.0;18.5;72.8;0.0;2.2;3.8
2022-10-29;17:28:46;3.0;0.0;22.3;68.0;0.0;2.5;4.1
2022-10-29;17:28:47;2.1;0.0;19.8;72.2;0.0;2.1;3.7
2022-10-29;17:28:48;5.1;0.0;22.2;67.2;0.0;2.0;3.5
2022-10-29;17:28:49;4.3;0.0;16.3;73.4;0.0;2.2;3.8
2022-10-29;17:28:50;3.1;0.0;21.8;69.4;0.0;2.1;3.6
2022-10-29;17:28:51;11.0;0.0;25.7;57.6;0.0;2.1;3.7
2022-10-29;17:28:52;3.8;0.0;18.4;71.9;0.0;2.2;3.8
2022-10-29;17:28:53;5.4;0.0;22.2;66.5;0.0;2.5;3.4
2022-10-29;17:28:54;2.1;0.0;20.7;70.7;0.0;2.7;3.7
2022-10-29;17:28:55;3.7;0.0;26.3;64.7;0.0;1.6;3.7
2022-10-29;17:28:56;4.1;0.0;21.0;68.7;0.0;2.1;4.1
2022-10-29;17:28:57;2.6;0.0;21.5;70.2;0.0;2.6;3.1
2022-10-29;17:28:58;2.5;0.0;25.0;66.5;0.0;2.0;4.0
2022-10-29;17:28:59;8.6;0.0;26.9;59.1;0.0;2.2;3.2
2022-10-29;17:29:00;5.1;0.0;20.4;68.4;0.0;2.0;4.1
2022-10-29;17:29:01;4.2;0.0;19.8;70.3;0.0;2.6;3.1
2022-10-29;17:29:02;2.0;0.0;24.6;67.8;0.0;2.0;3.5
2022-10-29;17:29:03;3.3;0.0;16.0;74.6;0.0;2.2;3.9
2022-10-29;17:29:04;4.1;0.0;20.7;68.9;0.0;2.6;3.6
2022-10-29;17:29:05;3.7;0.0;18.2;72.2;0.0;2.1;3.7
2022-10-29;17:29:06;5.0;0.0;21.5;67.5;0.0;2.0;4.0
2022-10-29;17:29:07;4.8;0.0;18.1;71.3;0.0;2.1;3.7
2022-10-29;17:29:08;5.2;0.0;18.8;70.2;0.0;2.1;3.7
2022-10-29;17:29:09;3.8;0.0;16.4;73.8;0.0;2.2;3.8
2022-10-29;17:29:10;3.5;0.0;22.2;68.2;0.0;2.0;4.0
2022-10-29;17:29:11;3.2;0.0;20.1;70.4;0.0;2.6;3.7
2022-10-29;17:29:12;7.3;0.0;25.1;62.3;0.0;1.6;3.7
2022-10-29;17:29:13;2.0;0.0;23.5;68.4;0.0;2.6;3.6
2022-10-29;17:29:14;3.7;0.0;18.2;72.2;0.0;2.1;3.7
2022-10-29;17:29:15;2.2;0.0;19.4;72.0;0.0;2.7;3.8
2022-10-29;17:29:16;2.1;0.0;20.3;71.1;0.0;2.1;4.3
2022-10-29;17:29:17;3.2;0.0;20.0;71.1;0.0;2.1;3.7
2022-10-29;17:29:18;2.1;0.0;23.0;69.1;0.0;2.1;3.7
2022-10-29;17:29:19;2.6;0.0;20.5;70.5;0.0;2.6;3.7
2022-10-29;17:29:20;3.1;0.0;20.3;70.3;0.0;2.1;4.2
2022-10-29;17:29:21;3.7;0.0;18.2;72.2;0.0;2.1;3.7
2022-10-29;17:29:22;1.6;0.0;22.0;70.7;0.0;2.1;3.7
2022-10-29;17:29:23;3.8;0.0;17.7;72.6;0.0;2.2;3.8
2022-10-29;17:29:24;4.1;0.0;20.1;70.1;0.0;2.1;3.6
2022-10-29;17:29:25;3.8;0.0;16.8;72.8;0.0;2.7;3.8
2022-10-29;17:29:26;3.1;0.0;22.6;68.7;0.0;2.1;3.6
2022-10-29;17:29:27;2.7;0.0;19.9;71.5;0.0;2.2;3.8
2022-10-29;17:29:28;3.2;0.0;18.7;71.7;0.0;2.7;3.7
2022-10-29;17:29:29;3.2;0.0;18.8;72.0;0.0;2.2;3.8
2022-10-29;17:29:30;4.2;0.0;18.4;71.6;0.0;2.1;3.7
2022-10-29;17:29:31;2.2;0.0;18.2;73.5;0.0;2.2;3.9
2022-10-29;17:29:32;3.7;0.0;18.2;71.1;0.0;2.7;4.3
2022-10-29;17:29:33;5.6;0.0;19.7;69.2;0.0;2.0;3.5
